City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
337,Yaan,7.3833,8.5667,72.7,25,23,4.83,NG,2021-12-13 03:30:13,few clouds
338,Sal Rei,16.1833,-22.9167,72.16,74,100,17.38,CV,2021-12-13 03:30:14,overcast clouds
339,Margate,51.3813,1.3862,53.31,79,100,1.99,GB,2021-12-13 03:30:14,overcast clouds
340,Haines Junction,60.7522,-137.5108,-7.65,59,100,9.22,CA,2021-12-13 03:30:14,overcast clouds
341,Newport,51.5877,-2.9984,54.63,92,100,16.13,GB,2021-12-13 03:25:56,overcast clouds
342,Key West,24.5557,-81.7826,80.6,79,75,8.05,US,2021-12-13 03:28:09,broken clouds
343,Ler,8.3018,30.1418,73.49,33,75,4.9,SS,2021-12-13 03:30:15,broken clouds
344,Ankazoabo,-22.2833,44.5167,78.8,51,29,7.45,MG,2021-12-13 03:30:16,scattered clouds
345,Matay,28.419,30.7792,61.27,64,100,7.87,EG,2021-12-13 03:30:16,overcast clouds
346,Isabela,6.7085,121.9711,86.05,67,99,5.66,PH,2021-12-13 03:30:16,moderate rain
347,Talcahuano,-36.7167,-73.1167,55.08,76,0,11.5,CL,2021-12-13 03:30:17,clear sky
348,Onega,63.9061,38.1404,16.9,96,96,5.19,RU,2021-12-13 03:30:17,overcast clouds
349,Tagab,34.855,69.6492,45.23,21,86,1.59,AF,2021-12-13 03:30:17,overcast clouds
350,Tombouctou,20.0,-3.0,64.29,11,37,10.89,ML,2021-12-13 03:30:18,scattered clouds
351,Sergeyevka,53.88,67.4158,4.86,91,11,6.73,KZ,2021-12-13 03:30:18,few clouds
352,Riva,38.9521,-76.578,43.11,54,1,1.01,US,2021-12-13 03:30:18,clear sky
353,Ailigandi,9.2333,-78.0167,79.14,83,100,7.14,PA,2021-12-13 03:30:19,overcast clouds
354,Quang Ngai,15.1167,108.8,75.34,80,60,13.24,VN,2021-12-13 03:30:19,broken clouds
355,Pochutla,15.7432,-96.4661,77.85,79,3,3.38,MX,2021-12-13 03:30:19,clear sky
356,Nguruka,-5.1092,31.0419,63.97,97,89,4.36,TZ,2021-12-13 03:30:20,light rain
357,Sao Joao Da Barra,-21.6403,-41.0511,75.2,93,100,14.67,BR,2021-12-13 03:30:20,overcast clouds
358,Clyde River,70.4692,-68.5914,-18.06,99,91,4.74,CA,2021-12-13 03:30:20,overcast clouds
359,Puqi,29.7167,113.8833,55.98,55,12,5.57,CN,2021-12-13 03:30:21,few clouds
360,Kemlya,54.6963,45.2424,17.87,76,50,7.9,RU,2021-12-13 03:30:21,scattered clouds
361,Conde,-7.2597,-34.9075,76.46,94,75,4.61,BR,2021-12-13 03:30:21,broken clouds
362,Jalu,29.0331,21.5482,51.6,83,0,6.53,LY,2021-12-13 03:30:22,clear sky
363,Ostrovnoy,68.0531,39.5131,28.49,92,100,13.38,RU,2021-12-13 03:30:22,overcast clouds
364,Codrington,-38.2667,141.9667,68.25,61,100,20.96,AU,2021-12-13 03:30:22,moderate rain
365,Saint-Pierre,-21.3393,55.4781,80.28,65,0,17.27,RE,2021-12-13 03:30:23,clear sky
366,Saskylakh,71.9167,114.0833,-44.57,100,75,3.33,RU,2021-12-13 03:30:23,broken clouds
367,Fuyu,45.1833,124.8167,19.44,72,5,17.22,CN,2021-12-13 03:30:24,clear sky
368,Humaita,-7.5061,-63.0208,74.35,99,100,2.77,BR,2021-12-13 03:30:24,moderate rain
369,Klaksvik,62.2266,-6.589,40.12,98,100,29.64,FO,2021-12-13 03:30:24,overcast clouds
370,Los Llanos De Aridane,28.6585,-17.9182,62.35,79,75,4.0,ES,2021-12-13 03:30:25,broken clouds
371,Jumla,29.2747,82.1838,50.86,21,72,1.68,NP,2021-12-13 03:31:25,broken clouds
372,Berlevag,70.8578,29.0864,28.35,95,95,15.37,NO,2021-12-13 03:31:26,light snow
373,Bujumbura,-3.3822,29.3644,70.99,78,100,2.73,BI,2021-12-13 03:31:26,light rain
374,Zhuhai,22.2769,113.5678,68.97,68,20,19.57,CN,2021-12-13 03:31:26,few clouds
375,San Patricio,28.017,-97.5169,64.26,78,3,4.92,US,2021-12-13 03:31:27,clear sky
376,Astoria,46.1879,-123.8313,41.86,93,90,1.99,US,2021-12-13 03:27:35,light rain
377,Cabo San Lucas,22.8909,-109.9124,73.15,77,40,3.44,MX,2021-12-13 03:29:17,scattered clouds
378,Kruisfontein,-34.0033,24.7314,66.88,98,100,5.06,ZA,2021-12-13 03:31:27,overcast clouds
379,Bethel,41.3712,-73.414,42.49,59,1,1.01,US,2021-12-13 03:31:28,clear sky
380,Scarborough,54.2797,-0.4044,53.08,88,95,8.01,GB,2021-12-13 03:31:28,overcast clouds
381,Terrace,54.5163,-128.6035,26.51,86,90,9.22,CA,2021-12-13 03:31:28,light snow
382,Gobabis,-22.45,18.9667,66.16,75,12,8.95,NA,2021-12-13 03:31:29,few clouds
383,Yeniseysk,58.4497,92.1703,-8.54,98,99,1.25,RU,2021-12-13 03:31:29,overcast clouds
384,Faya,18.3851,42.4509,42.91,39,0,3.44,SA,2021-12-13 03:30:49,clear sky
385,Ferme-Neuve,46.7001,-75.4493,34.84,77,54,11.74,CA,2021-12-13 03:31:29,broken clouds
386,Bambous Virieux,-20.3428,57.7575,80.22,78,75,6.91,MU,2021-12-13 03:31:30,broken clouds
387,Ginda,30.6945,78.4932,53.91,18,100,1.83,IN,2021-12-13 03:31:30,overcast clouds
388,Villa Sandino,12.0483,-84.9936,69.06,96,18,9.4,NI,2021-12-13 03:31:30,few clouds
389,Riyadh,24.6877,46.7219,46.54,31,58,5.14,SA,2021-12-13 03:30:17,broken clouds
390,Mulege,26.8833,-111.9833,62.31,72,81,2.89,MX,2021-12-13 03:31:31,broken clouds
391,Vaitape,-16.5167,-151.75,81.34,70,98,9.31,PF,2021-12-13 03:31:32,light rain
392,Kuala Terengganu,5.3302,103.1408,76.95,94,40,8.05,MY,2021-12-13 03:31:32,scattered clouds
393,Faanui,-16.4833,-151.75,81.34,70,100,8.99,PF,2021-12-13 03:31:32,overcast clouds
394,Nouadhibou,20.931,-17.0347,62.58,67,33,19.57,MR,2021-12-13 03:31:32,scattered clouds
395,Santa Pola,38.1917,-0.5658,54.5,88,20,4.61,ES,2021-12-13 03:31:33,few clouds
396,Luwuk,-0.9516,122.7875,87.4,68,70,3.18,ID,2021-12-13 03:29:08,broken clouds
