City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
669,Qeshm,IR,60.69,26.9581,56.2719,clear sky,Qeshm Kavan Hotel
672,Impfondo,CG,71.47,1.6381,18.0667,overcast clouds,Auberge La Place de Jules
673,Maceio,BR,76.44,-9.6658,-35.7353,scattered clouds,Poutur Pousada
674,Puri,IN,73.38,19.8,85.85,broken clouds,OYO 1577 Hotel Shree Hari Grand
675,Ohara,JP,58.95,35.25,140.3833,scattered clouds,Sakigake
682,Basoko,CD,72.1,1.2391,23.616,overcast clouds,Jackyna Hotel
684,Zwedru,LR,73.02,6.0667,-8.1281,clear sky,Elijah Worjloh
685,Gambela,ET,74.48,8.25,34.5833,overcast clouds,Solomon Debebe Hotel
686,Garhi Khairo,PK,64.29,28.0606,67.9803,clear sky,Old Hostel Garhi Khairo
687,Tessaoua,NE,64.51,13.7574,7.9874,overcast clouds,Benin Dan Kaabou Heberge
