City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,Greece,43.2098,-77.6931,45.68,81,90,4.0,US,2021-12-11 06:02:45
199,Luang Prabang,19.8856,102.1347,85.51,42,1,1.05,LA,2021-12-11 06:02:46
200,Beringovskiy,63.05,179.3167,-18.22,94,69,6.08,RU,2021-12-11 06:02:46
201,Vostok,46.4856,135.8833,25.02,88,98,3.15,RU,2021-12-11 06:02:47
202,Portland,45.5234,-122.6762,49.33,76,75,5.01,US,2021-12-11 06:02:47
203,Ancud,-41.8697,-73.8203,55.42,93,98,12.84,CL,2021-12-11 06:02:48
204,Ust-Nera,64.5667,143.2,-36.09,98,98,4.0,RU,2021-12-11 06:02:48
205,Cabo San Lucas,22.8909,-109.9124,72.52,76,75,7.61,MX,2021-12-11 05:58:55
206,Jacareacanga,-6.2222,-57.7528,72.95,98,95,0.65,BR,2021-12-11 06:02:50
207,Pathein,16.7833,94.7333,86.95,50,3,5.48,MM,2021-12-11 06:02:50
208,Beloha,-25.1667,45.05,90.55,38,91,7.7,MG,2021-12-11 06:02:51
209,Udachnyy,66.4167,112.4,-28.59,99,100,4.9,RU,2021-12-11 06:02:51
210,Goderich,43.7501,-81.7165,40.91,92,100,30.11,CA,2021-12-11 06:02:51
211,Wasilla,61.5814,-149.4394,20.75,86,90,3.44,US,2021-12-11 06:02:52
212,Kunyang,27.6658,120.5658,63.25,60,3,4.63,CN,2021-12-11 06:02:52
213,Codrington,-38.2667,141.9667,63.97,61,0,15.01,AU,2021-12-11 06:02:53
214,Dubbo,-32.25,148.6167,77.13,36,40,9.22,AU,2021-12-11 06:02:53
215,Tomigusuku,26.185,127.675,75.33,48,20,9.22,JP,2021-12-11 06:02:53
216,Tabas,33.5959,56.9244,61.36,27,26,1.77,IR,2021-12-11 06:02:54
217,Yinchuan,38.4681,106.2731,36.57,36,100,4.25,CN,2021-12-11 06:02:54
218,Tokmak,47.2514,35.7058,42.84,80,100,19.3,UA,2021-12-11 06:02:55
219,Yuzhno-Kurilsk,44.0306,145.8556,39.7,79,100,3.83,RU,2021-12-11 06:02:55
220,Turayf,31.6725,38.6637,50.95,55,60,14.32,SA,2021-12-11 06:02:55
221,Tecoanapa,16.5167,-98.75,76.44,87,59,3.65,MX,2021-12-11 06:02:56
222,Vardo,70.3705,31.1107,24.78,82,99,23.76,NO,2021-12-11 06:02:56
223,Palo Negro,10.1739,-67.5419,67.26,91,80,4.05,VE,2021-12-11 06:02:57
224,Broome,42.2506,-75.833,41.67,74,90,1.01,US,2021-12-11 06:03:57
225,Gazanjyk,39.2446,55.5154,51.8,73,54,3.89,TM,2021-12-11 06:03:57
226,Srivardhan,18.0333,73.0167,86.23,47,1,2.17,IN,2021-12-11 06:03:58
227,Cidreira,-30.1811,-50.2056,65.08,76,83,6.06,BR,2021-12-11 06:03:58
228,San Roque,36.2107,-5.3842,56.23,82,0,20.71,ES,2021-12-11 06:03:58
229,Polunochnoye,60.8697,60.4153,10.06,81,2,8.66,RU,2021-12-11 06:03:59
230,Anadyr,64.75,177.4833,-20.0,75,100,10.42,RU,2021-12-11 06:03:59
231,Shenjiamen,29.9576,122.298,59.56,67,8,6.35,CN,2021-12-11 06:04:00
